Rabi measurement
Date: 2020_07_30, 17:26
Rabi settings:
Minimum [ns]: 80.000000 
Maximum [ns]: 120.000000 
Step [ns]: 1.000000 
Sequence: [(['Laser'], 1500), ([], 1000-t), (['Mw'], 2.5), ([], 100), (['Mw'], 5), ([], t), (['Mw'], 2.5), ([], 300)] 
Repeat [#]: 4 
Freq [MHz]: 2815.000000 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Time [ns];Intensity [count]; Average Intensity [count]
79.5;1173216.0;14391021.5
79.5;27410125.0;14391021.5
79.5;1219045.0;14391021.5
79.5;27761700.0;14391021.5
81.0;1080410.0;10872365.0
81.0;16541488.0;10872365.0
81.0;1926496.0;10872365.0
81.0;23941066.0;10872365.0
82.5;27980936.0;11041181.0
82.5;278914.0;11041181.0
82.5;380162.0;11041181.0
82.5;15524712.0;11041181.0
84.0;27927193.0;19808831.0
84.0;22989341.0;19808831.0
84.0;469764.0;19808831.0
84.0;27849026.0;19808831.0
85.5;334146.0;9397326.5
85.5;28042433.0;9397326.5
85.5;4472198.0;9397326.5
85.5;4740529.0;9397326.5
87.0;3297334.0;9736808.5
87.0;27994273.0;9736808.5
87.0;7475467.0;9736808.5
87.0;180160.0;9736808.5
88.5;28061538.0;14341139.25
88.5;27933701.0;14341139.25
88.5;187520.0;14341139.25
88.5;1181798.0;14341139.25
90.0;27998656.0;16447375.0
90.0;28039741.0;16447375.0
90.0;6090629.0;16447375.0
90.0;3660474.0;16447375.0
91.5;28054230.0;17861346.25
91.5;264770.0;17861346.25
91.5;27884486.0;17861346.25
91.5;15241899.0;17861346.25
93.0;5162617.0;8186589.5
93.0;1482738.0;8186589.5
93.0;26079371.0;8186589.5
93.0;21632.0;8186589.5
94.5;2412590.0;9451391.75
94.5;279362.0;9451391.75
94.5;7213351.0;9451391.75
94.5;27900264.0;9451391.75
96.0;28030623.0;15564637.75
96.0;27892457.0;15564637.75
96.0;694727.0;15564637.75
96.0;5640744.0;15564637.75
97.5;3106515.0;5195963.5
97.5;9385115.0;5195963.5
97.5;7996862.0;5195963.5
97.5;295362.0;5195963.5
99.0;27920475.0;17155647.25
99.0;27970163.0;17155647.25
99.0;12730095.0;17155647.25
99.0;1856.0;17155647.25
100.5;27575947.0;22084305.5
100.5;28064895.0;22084305.5
100.5;14946724.0;22084305.5
100.5;17749656.0;22084305.5
102.0;5858313.0;1897812.0
102.0;1683463.0;1897812.0
102.0;3840.0;1897812.0
102.0;45632.0;1897812.0
103.5;28042706.0;21563194.25
103.5;28101278.0;21563194.25
103.5;28013699.0;21563194.25
103.5;2095094.0;21563194.25
105.0;11000048.0;12577623.25
105.0;12800.0;12577623.25
105.0;11296062.0;12577623.25
105.0;28001583.0;12577623.25
106.5;28006780.0;23059591.75
106.5;18481771.0;23059591.75
106.5;27982970.0;23059591.75
106.5;17766846.0;23059591.75
108.0;9236691.0;12861293.75
108.0;2343771.0;12861293.75
108.0;17782070.0;12861293.75
108.0;22082643.0;12861293.75
109.5;14632623.0;20519185.5
109.5;19795256.0;20519185.5
109.5;27931792.0;20519185.5
109.5;19717071.0;20519185.5
111.0;28033872.0;10335155.75
111.0;378178.0;10335155.75
111.0;5312.0;10335155.75
111.0;12923261.0;10335155.75
112.5;9268017.0;12017649.75
112.5;27985715.0;12017649.75
112.5;1240680.0;12017649.75
112.5;9576187.0;12017649.75
114.0;28183990.0;14075428.25
114.0;28094043.0;14075428.25
114.0;4992.0;14075428.25
114.0;18688.0;14075428.25
115.5;28049823.0;14199197.25
115.5;17348939.0;14199197.25
115.5;13632.0;14199197.25
115.5;11384395.0;14199197.25
117.0;2219340.0;21583475.75
117.0;28091145.0;21583475.75
117.0;28019358.0;21583475.75
117.0;28004060.0;21583475.75
118.5;15239697.0;15376234.25
118.5;10455998.0;15376234.25
118.5;7982321.0;15376234.25
118.5;27826921.0;15376234.25
120.0;27138877.0;26900476.5
120.0;25736575.0;26900476.5
120.0;27976016.0;26900476.5
120.0;26750438.0;26900476.5
