Rabi measurement
Date: 2020_07_30, 17:02
Rabi settings:
Minimum [ns]: 0.000000 
Maximum [ns]: 80.000000 
Step [ns]: 2.000000 
Sequence: [(['Laser'], 1500), ([], 1000-t), (['Mw'], t), ([], 500)] 
Repeat [#]: 4 
Freq [MHz]: 2815.000000 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Time [ns];Intensity [count]; Average Intensity [count]
0.0;9856.0;2167484.0
0.0;42880.0;2167484.0
0.0;3008.0;2167484.0
0.0;8614192.0;2167484.0
1.5;20147549.0;22461614.0
1.5;26245298.0;22461614.0
1.5;17097835.0;22461614.0
1.5;26355774.0;22461614.0
3.0;251202.0;15010582.75
3.0;23888191.0;15010582.75
3.0;26255175.0;15010582.75
3.0;9647763.0;15010582.75
4.5;26472644.0;21493657.75
4.5;24317447.0;21493657.75
4.5;9001336.0;21493657.75
4.5;26183204.0;21493657.75
6.0;26297919.0;23051787.75
6.0;26383454.0;23051787.75
6.0;26344360.0;23051787.75
6.0;13181418.0;23051787.75
7.5;8224174.0;13447410.0
7.5;22953787.0;13447410.0
7.5;21019685.0;13447410.0
7.5;1591994.0;13447410.0
9.0;7513367.0;15211715.75
9.0;25806510.0;15211715.75
9.0;6968126.0;15211715.75
9.0;20558860.0;15211715.75
10.5;5280279.0;8983367.25
10.5;4235924.0;8983367.25
10.5;26084592.0;8983367.25
10.5;332674.0;8983367.25
12.0;26259989.0;24979847.25
12.0;26268917.0;24979847.25
12.0;26079968.0;24979847.25
12.0;21310515.0;24979847.25
13.5;26264595.0;13427409.0
13.5;1138463.0;13427409.0
13.5;134656.0;13427409.0
13.5;26171922.0;13427409.0
15.0;25528954.0;24880835.0
15.0;26129029.0;24880835.0
15.0;26152157.0;24880835.0
15.0;21713200.0;24880835.0
16.5;25897157.0;13971795.75
16.5;22200720.0;13971795.75
16.5;2876592.0;13971795.75
16.5;4912714.0;13971795.75
18.0;16520949.0;15202694.25
18.0;25875026.0;15202694.25
18.0;12125287.0;15202694.25
18.0;6289515.0;15202694.25
19.5;25946260.0;18089676.75
19.5;25759433.0;18089676.75
19.5;4472631.0;18089676.75
19.5;16180383.0;18089676.75
21.0;14701846.0;10511174.75
21.0;9074310.0;10511174.75
21.0;14277709.0;10511174.75
21.0;3990834.0;10511174.75
22.5;5407281.0;14290130.75
22.5;23392029.0;14290130.75
22.5;2775071.0;14290130.75
22.5;25586142.0;14290130.75
24.0;3369927.0;6704280.5
24.0;13580475.0;6704280.5
24.0;1661184.0;6704280.5
24.0;8205536.0;6704280.5
25.5;25714581.0;13364569.0
25.5;13248.0;13364569.0
25.5;1914719.0;13364569.0
25.5;25815728.0;13364569.0
27.0;2816.0;11276219.5
27.0;25867463.0;11276219.5
27.0;17677931.0;11276219.5
27.0;1556668.0;11276219.5
28.5;25695042.0;16100360.75
28.5;25749361.0;16100360.75
28.5;8862191.0;16100360.75
28.5;4094849.0;16100360.75
30.0;22322613.0;22147885.75
30.0;25582504.0;22147885.75
30.0;19614234.0;22147885.75
30.0;21072192.0;22147885.75
31.5;1664.0;9590129.5
31.5;25556424.0;9590129.5
31.5;5292130.0;9590129.5
31.5;7510300.0;9590129.5
33.0;3556576.0;14978776.0
33.0;25578068.0;14978776.0
33.0;25640507.0;14978776.0
33.0;5139953.0;14978776.0
34.5;76096.0;7338786.25
34.5;25539914.0;7338786.25
34.5;3730431.0;7338786.25
34.5;8704.0;7338786.25
36.0;186816.0;7255670.5
36.0;1694409.0;7255670.5
36.0;4783342.0;7255670.5
36.0;22358115.0;7255670.5
37.5;7912372.0;14970202.0
37.5;25532853.0;14970202.0
37.5;19867850.0;14970202.0
37.5;6567733.0;14970202.0
39.0;25491644.0;15820230.0
39.0;16597405.0;15820230.0
39.0;20348589.0;15820230.0
39.0;843282.0;15820230.0
40.5;18768486.0;23736573.0
40.5;25433503.0;23736573.0
40.5;25333893.0;23736573.0
40.5;25410410.0;23736573.0
42.0;22050764.0;10207473.25
42.0;10549568.0;10207473.25
42.0;5530850.0;10207473.25
42.0;2698711.0;10207473.25
43.5;25427548.0;16492522.5
43.5;25352289.0;16492522.5
43.5;14336.0;16492522.5
43.5;15175917.0;16492522.5
45.0;25605854.0;12246088.5
45.0;670025.0;12246088.5
45.0;17217711.0;12246088.5
45.0;5490764.0;12246088.5
46.5;9792535.0;16831422.75
46.5;12976800.0;16831422.75
46.5;25392310.0;16831422.75
46.5;19164046.0;16831422.75
48.0;18705679.0;9467200.25
48.0;15246188.0;9467200.25
48.0;3837574.0;9467200.25
48.0;79360.0;9467200.25
49.5;141312.0;7266409.0
49.5;25482996.0;7266409.0
49.5;2880620.0;7266409.0
49.5;560708.0;7266409.0
51.0;190338.0;14185784.75
51.0;11128913.0;14185784.75
51.0;25379927.0;14185784.75
51.0;20043961.0;14185784.75
52.5;4384561.0;16858029.0
52.5;25300142.0;16858029.0
52.5;25393916.0;16858029.0
52.5;12353497.0;16858029.0
54.0;7022536.0;17155135.0
54.0;25327030.0;17155135.0
54.0;12990683.0;17155135.0
54.0;23280291.0;17155135.0
55.5;25387095.0;15895969.0
55.5;22922268.0;15895969.0
55.5;12707221.0;15895969.0
55.5;2567292.0;15895969.0
57.0;25396418.0;12059560.25
57.0;6575916.0;12059560.25
57.0;481413.0;12059560.25
57.0;15784494.0;12059560.25
58.5;25381387.0;9032060.75
58.5;9139239.0;9032060.75
58.5;1598017.0;9032060.75
58.5;9600.0;9032060.75
60.0;7250800.0;9783681.0
60.0;6511846.0;9783681.0
60.0;25362862.0;9783681.0
60.0;9216.0;9783681.0
61.5;10218815.0;14655562.25
61.5;25456410.0;14655562.25
61.5;1920.0;14655562.25
61.5;22945104.0;14655562.25
63.0;9829594.0;5684898.25
63.0;6037832.0;5684898.25
63.0;4559633.0;5684898.25
63.0;2312534.0;5684898.25
64.5;17702529.0;18028609.25
64.5;3861461.0;18028609.25
64.5;25215010.0;18028609.25
64.5;25335437.0;18028609.25
66.0;10936291.0;19656496.25
66.0;25430119.0;19656496.25
66.0;19491676.0;19656496.25
66.0;22767899.0;19656496.25
67.5;25373127.0;15457934.5
67.5;25329162.0;15457934.5
67.5;6035771.0;15457934.5
67.5;5093678.0;15457934.5
69.0;1211487.0;13144500.0
69.0;832334.0;13144500.0
69.0;25294646.0;13144500.0
69.0;25239533.0;13144500.0
70.5;25320994.0;13412298.75
70.5;25269818.0;13412298.75
70.5;3053775.0;13412298.75
70.5;4608.0;13412298.75
72.0;3449355.0;8487565.0
72.0;1086364.0;8487565.0
72.0;4196564.0;8487565.0
72.0;25217977.0;8487565.0
73.5;744264.0;9617121.0
73.5;1183715.0;9617121.0
73.5;25091978.0;9617121.0
73.5;11448527.0;9617121.0
75.0;25220587.0;14387598.75
75.0;3706544.0;14387598.75
75.0;3353093.0;14387598.75
75.0;25270171.0;14387598.75
76.5;195904.0;18989070.5
76.5;25330652.0;18989070.5
76.5;25249069.0;18989070.5
76.5;25180657.0;18989070.5
78.0;25235396.0;15637615.0
78.0;25317718.0;15637615.0
78.0;9787734.0;15637615.0
78.0;2209612.0;15637615.0
79.5;25375830.0;15022984.75
79.5;15054197.0;15022984.75
79.5;1230822.0;15022984.75
79.5;18431090.0;15022984.75
