Rabi measurement
Date: 2020_07_30, 17:14
Rabi settings:
Minimum [ns]: 0.000000 
Maximum [ns]: 20.000000 
Step [ns]: 1.000000 
Sequence: [(['Laser'], 1500), ([], 1000-t), (['Mw'], 2.5), ([], t), (['Mw'], 2.5), ([], 300)] 
Repeat [#]: 8 
Freq [MHz]: 2815.000000 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Time [ns];Intensity [count]; Average Intensity [count]
0.0;23443635.0;18552491.25
0.0;29793387.0;18552491.25
0.0;30011427.0;18552491.25
0.0;742285.0;18552491.25
0.0;30143269.0;18552491.25
0.0;3983212.0;18552491.25
0.0;30192891.0;18552491.25
0.0;109824.0;18552491.25
1.5;30213564.0;15693439.875
1.5;21920214.0;15693439.875
1.5;3242600.0;15693439.875
1.5;8584118.0;15693439.875
1.5;14295666.0;15693439.875
1.5;16913960.0;15693439.875
1.5;30342261.0;15693439.875
1.5;35136.0;15693439.875
3.0;28755394.0;18826341.375
3.0;7309107.0;18826341.375
3.0;30271577.0;18826341.375
3.0;30361287.0;18826341.375
3.0;6050232.0;18826341.375
3.0;16812856.0;18826341.375
3.0;706630.0;18826341.375
3.0;30343648.0;18826341.375
4.5;30273065.0;20363814.75
4.5;15251089.0;20363814.75
4.5;2588037.0;20363814.75
4.5;30199286.0;20363814.75
4.5;30272869.0;20363814.75
4.5;1605118.0;20363814.75
4.5;30205981.0;20363814.75
4.5;22515073.0;20363814.75
6.0;753863.0;11264085.25
6.0;12825634.0;11264085.25
6.0;13060001.0;11264085.25
6.0;12899078.0;11264085.25
6.0;73600.0;11264085.25
6.0;1185118.0;11264085.25
6.0;19170611.0;11264085.25
6.0;30144777.0;11264085.25
7.5;937808.0;13487841.0
7.5;22447274.0;13487841.0
7.5;24271577.0;13487841.0
7.5;6735931.0;13487841.0
7.5;30091887.0;13487841.0
7.5;18515425.0;13487841.0
7.5;3227946.0;13487841.0
7.5;1674880.0;13487841.0
9.0;20234900.0;17526418.0
9.0;30174843.0;17526418.0
9.0;12007260.0;17526418.0
9.0;17729822.0;17526418.0
9.0;11023918.0;17526418.0
9.0;7959343.0;17526418.0
9.0;10892482.0;17526418.0
9.0;30188776.0;17526418.0
10.5;252610.0;17998944.25
10.5;23956718.0;17998944.25
10.5;29899797.0;17998944.25
10.5;12831548.0;17998944.25
10.5;81408.0;17998944.25
10.5;17005734.0;17998944.25
10.5;29969789.0;17998944.25
10.5;29993950.0;17998944.25
12.0;29927317.0;17671280.5
12.0;20733379.0;17671280.5
12.0;6987196.0;17671280.5
12.0;2688.0;17671280.5
12.0;29869936.0;17671280.5
12.0;29793374.0;17671280.5
12.0;21337479.0;17671280.5
12.0;2718875.0;17671280.5
13.5;29722490.0;20558432.875
13.5;29892210.0;20558432.875
13.5;10647139.0;20558432.875
13.5;29928217.0;20558432.875
13.5;29752770.0;20558432.875
13.5;1939750.0;20558432.875
13.5;21234645.0;20558432.875
13.5;11350242.0;20558432.875
15.0;15954142.0;11161746.875
15.0;5168836.0;11161746.875
15.0;9088.0;11161746.875
15.0;5877983.0;11161746.875
15.0;25564827.0;11161746.875
15.0;26112.0;11161746.875
15.0;6722168.0;11161746.875
15.0;29970819.0;11161746.875
16.5;30042547.0;15507518.75
16.5;1619521.0;15507518.75
16.5;29962956.0;15507518.75
16.5;22720775.0;15507518.75
16.5;7543913.0;15507518.75
16.5;1647745.0;15507518.75
16.5;16435470.0;15507518.75
16.5;14087223.0;15507518.75
18.0;23092051.0;11684538.5
18.0;9874814.0;11684538.5
18.0;13134107.0;11684538.5
18.0;4443134.0;11684538.5
18.0;20205902.0;11684538.5
18.0;7424.0;11684538.5
18.0;4494014.0;11684538.5
18.0;18224862.0;11684538.5
19.5;30376504.0;11286379.875
19.5;28292650.0;11286379.875
19.5;480836.0;11286379.875
19.5;4544.0;11286379.875
19.5;29440.0;11286379.875
19.5;322818.0;11286379.875
19.5;536132.0;11286379.875
19.5;30248115.0;11286379.875
